archive_rel,size_bytes,category,target_rel,similarity
Components/Auth/AuthModal.vue,5320,basename-similar,js/src/features/auth/ui/AuthModal/AuthModal.vue,0.9625
Components/Auth/RegisterModal.vue,6246,basename-similar,js/src/features/auth/ui/RegisterModal/RegisterModal.vue,0.9648
Components/Booking/BookingForm.vue,27440,basename-similar,js/src/features/booking-form/ui/BookingForm/BookingForm.vue,0.7219
Components/Booking/BookingModal.vue,16896,basename-similar,js/src/entities/booking/ui/BookingModal/BookingModal.vue,0.7571
Components/Booking/BookingSuccessModal.vue,5224,missing,,
Components/Booking/Calendar.vue,15171,missing,,
Components/Cards/Card.vue,10441,basename-similar,js/src/shared/ui/organisms/Cards/Card.vue,0.52
Components/Cards/Cards.vue,1501,basename-similar,css/03-modules/cards.css,0.2443
Components/Cards/ItemActions.vue,2655,basename-similar,js/src/entities/ad/ui/AdCard/ItemActions.vue,0.7659
Components/Cards/ItemActionsDropdown.vue,2832,basename-similar,js/src/entities/ad/ui/AdCard/ItemActionsDropdown.vue,0.8604
Components/Cards/ItemContent.vue,3515,basename-similar,js/src/entities/ad/ui/AdCard/ItemContent.vue,0.8558
Components/Cards/ItemImage.vue,6284,basename-similar,js/src/entities/ad/ui/AdCard/ItemImage.vue,0.8025
Components/Cards/ItemStats.vue,4220,basename-similar,js/src/entities/ad/ui/AdCard/ItemStats.vue,0.8545
Components/Cards/ListCard.vue,2607,missing,,
Components/Cards/MasterCard.vue,9452,basename-similar,js/src/entities/master/ui/MasterCard/MasterCard.vue,0.8739
Components/Cards/MasterCardList.vue,3131,basename-similar,js/src/entities/master/ui/MasterCard/MasterCardList.vue,0.6212
Components/Cards/ServiceCard.vue,1521,basename-similar,js/src/entities/service/ui/ServiceCard/ServiceCard.vue,0.8117
Components/Common/ApplicationLogo.vue,3083,basename-similar,js/src/shared/ui/molecules/ApplicationLogo/ApplicationLogo.vue,0.9971
Components/Common/Breadcrumbs.vue,980,basename-similar,js/src/shared/ui/molecules/Breadcrumbs/Breadcrumbs.vue,0.2394
Components/Common/ErrorBoundary.vue,1961,basename-similar,js/shared/ui/molecules/ErrorBoundary/ErrorBoundary.vue,0.6713
Components/Common/ImageGalleryModal.vue,11082,basename-similar,js/src/shared/ui/molecules/ImageGallery/ImageGalleryModal.vue,0.8759
Components/Common/StarRating.vue,3597,basename-similar,js/src/shared/ui/molecules/StarRating/StarRating.vue,0.9404
Components/Common/ToastNotifications.vue,4561,basename-similar,js/src/shared/ui/molecules/ToastNotifications/ToastNotifications.vue,0.9772
Components/Features/MasterShow/components/BookingWidget.vue,5541,basename-similar,js/src/entities/booking/ui/BookingWidget/BookingWidget.vue,0.4972
Components/Features/MasterShow/components/MasterInfo.vue,1078,basename-similar,js/src/entities/master/ui/MasterInfo/MasterInfo.vue,0.163
Components/Features/MasterShow/components/ReviewsList.vue,1300,missing,,
Components/Features/MasterShow/components/ServicesList.vue,1103,missing,,
Components/Features/MasterShow/index.vue,2890,basename-similar,js/widgets/master-profile/index.ts,0.8316
Components/Features/PhotoUploader/VideoUploader.vue,8634,basename-similar,js/src/entities/ad/ui/AdForm/upload/VideoUploader.vue,0.8937
Components/Features/PhotoUploader/index.vue,16066,basename-similar,js/Pages/Bookings/Index.vue,0.8423
Components/Features/PhotoUploader/архив index.vue,15837,missing,,
Components/Features/Services/components/ServiceCategory.vue,4520,missing,,
Components/Features/Services/components/ServiceItem.vue,3044,missing,,
Components/Features/Services/index.vue,6034,basename-similar,js/Pages/Services/Index.vue,0.7455
Components/Filters/Filters.vue,5415,basename-similar,js/src/features/masters-filter/ui/FiltersOriginal/Filters.vue,0.9374
Components/Filters/FiltersSidebar.vue,1801,basename-similar,js/src/features/masters-filter/ui/FiltersSidebar/FiltersSidebar.vue,0.9829
Components/Filters/LocationFilter.vue,2626,missing,,
Components/Filters/PriceFilter.vue,1735,missing,,
Components/Filters/QuickTagsRow.vue,2118,basename-similar,js/src/features/masters-filter/ui/QuickTags/QuickTagsRow.vue,0.8225
Components/Filters/ServiceFilter.vue,837,basename-similar,js/src/features/masters-filter/ui/FilterService/ServiceFilter.vue,0.7551
Components/Footer/Footer.vue,15683,basename-similar,js/src/shared/ui/organisms/Footer/Footer.vue,0.2381
Components/Form/AdForm.vue,22669,basename-similar,js/src/entities/ad/ui/AdForm/AdForm.vue,0.9963
Components/Form/Controls/PriceInput.vue,4481,basename-similar,js/src/entities/ad/ui/AdForm/controls/PriceInput.vue,0.9998
Components/Form/Geo/GeoSuggest.vue,11495,basename-similar,js/src/entities/ad/ui/AdForm/geo/GeoSuggest.vue,0.8722
Components/Form/Sections/ClientsSection.vue,1137,basename-similar,js/src/features/AdSections/ClientsSection/ui/ClientsSection.vue,0.7767
Components/Form/Sections/ContactsSection.vue,2152,basename-similar,js/src/features/AdSections/ContactsSection/ui/ContactsSection.vue,1.0
Components/Form/Sections/DescriptionSection.vue,1140,basename-similar,js/src/features/AdSections/DescriptionSection/ui/DescriptionSection.vue,0.8133
Components/Form/Sections/DetailsSection.vue,3438,basename-similar,js/src/features/AdSections/DetailsSection/ui/DetailsSection.vue,0.8858
Components/Form/Sections/EducationSection.vue,10754,missing,,
Components/Form/Sections/ExperienceSection.vue,1025,basename-similar,js/src/features/AdSections/ExperienceSection/ui/ExperienceSection.vue,1.0
Components/Form/Sections/FeaturesSection.vue,2683,basename-similar,js/src/features/AdSections/FeaturesSection/ui/FeaturesSection.vue,0.9996
Components/Form/Sections/GeoSection.vue,951,basename-similar,js/src/features/AdSections/GeoSection/ui/GeoSection.vue,0.9989
Components/Form/Sections/GeographySection.vue,7843,basename-similar,js/src/features/AdSections/GeographySection/ui/GeographySection.vue,0.9999
Components/Form/Sections/LocationSection.vue,1309,basename-similar,js/src/entities/ad/ui/AdForm/sections/LocationSection.vue,0.6834
Components/Form/Sections/MediaSection.vue,3976,basename-similar,js/src/features/AdSections/MediaSection/ui/MediaSection.vue,0.9997
Components/Form/Sections/ParametersSection.vue,2409,basename-similar,js/src/features/AdSections/ParametersSection/ui/ParametersSection.vue,1.0
Components/Form/Sections/PhotosSection.vue,1327,basename-similar,js/src/features/AdSections/PhotosSection/ui/PhotosSection.vue,1.0
Components/Form/Sections/PriceListSection.vue,8479,basename-similar,js/src/features/AdSections/PriceListSection/ui/PriceListSection.vue,0.9999
Components/Form/Sections/PriceSection.vue,1809,basename-similar,js/src/features/AdSections/PriceSection/ui/PriceSection.vue,1.0
Components/Form/Sections/PromoSection.vue,1297,basename-similar,js/src/features/AdSections/PromoSection/ui/PromoSection.vue,1.0
Components/Form/Sections/ScheduleSection.vue,9364,basename-similar,js/src/features/AdSections/ScheduleSection/ui/ScheduleSection.vue,0.9999
Components/Form/Sections/ServiceProviderSection.vue,1452,basename-similar,js/src/features/AdSections/ServiceProviderSection/ui/ServiceProviderSection.vue,0.8499
Components/Form/Sections/SpecialtySection.vue,1392,basename-similar,js/src/features/AdSections/SpecialtySection/ui/SpecialtySection.vue,0.9041
Components/Form/Sections/TitleSection.vue,3076,basename-similar,js/src/features/AdSections/TitleSection/ui/TitleSection.vue,0.8923
Components/Form/Sections/VideosSection.vue,1417,basename-similar,js/src/features/AdSections/VideosSection/ui/VideosSection.vue,1.0
Components/Form/Sections/WorkFormatSection.vue,1170,basename-similar,js/src/features/AdSections/WorkFormatSection/ui/WorkFormatSection.vue,1.0
Components/Form/Upload/PhotoUploader.vue,9783,basename-similar,js/src/entities/ad/ui/AdForm/upload/PhotoUploader.vue,0.9999
Components/Form/Upload/VideoUploader.vue,8271,basename-similar,js/src/entities/ad/ui/AdForm/upload/VideoUploader.vue,1.0
Components/Gallery/PhotoGallery.vue,12705,basename-similar,js/src/features/gallery/ui/PhotoGallery/PhotoGallery.vue,0.5761
Components/Header/AuthBlock.vue,555,missing,,
Components/Header/CatalogDropdown.vue,8911,basename-similar,js/src/features/catalog/ui/CatalogDropdown/CatalogDropdown.vue,0.6767
Components/Header/CityModal.vue,6005,basename-similar,js/src/features/city-selector/ui/CityModal/CityModal.vue,0.4686
Components/Header/CitySelector.vue,828,basename-similar,js/src/widgets/header/CitySelector.vue,0.7743
Components/Header/CompareButton.vue,912,missing,,
Components/Header/FavoritesButton.vue,794,missing,,
Components/Header/Logo.vue,250,basename-similar,js/src/widgets/header/Logo.vue,0.9222
Components/Header/MobileMenu.vue,5786,basename-similar,js/src/widgets/header/MobileMenu.vue,0.9369
Components/Header/Navbar.vue,5713,missing,,
Components/Header/QuickLinks.vue,751,missing,,
Components/Header/SearchBar.vue,3232,basename-similar,js/src/features/search/ui/SearchBar/SearchBar.vue,0.9427
Components/Header/UserMenu.vue,7818,missing,,
Components/Icons/TelegramIcon.vue,862,missing,,
Components/Icons/WhatsAppIcon.vue,1336,missing,,
Components/Layout/BackButton.vue,1632,basename-similar,js/src/shared/ui/molecules/BackButton/BackButton.vue,0.7955
Components/Layout/Breadcrumbs.vue,2212,basename-similar,js/src/shared/ui/molecules/Breadcrumbs/Breadcrumbs.vue,0.4601
Components/Layout/ContentCard.vue,1823,basename-similar,js/src/shared/layouts/components/ContentCard.vue,0.7816
Components/Layout/PageHeader.vue,1240,basename-similar,js/src/shared/layouts/components/PageHeader.vue,0.5797
Components/Layout/PageSection.vue,2214,basename-similar,js/src/shared/layouts/components/PageSection.vue,0.6127
Components/Layout/SidebarWrapper.vue,6958,basename-similar,js/src/shared/layouts/components/SidebarWrapper.vue,0.8271
Components/Map/Map.vue,2876,missing,,
Components/Map/MapMarker.vue,0,basename-similar,js/src/features/map/ui/MapMarker/MapMarker.vue,0.0
Components/Map/SimpleMap.vue,3632,missing,,
Components/Map/UniversalMap.vue,12250,basename-similar,js/src/features/map/ui/UniversalMap/UniversalMap.vue,0.6886
Components/Map/YandexMap.vue,9949,missing,,
